text,label,true_label
North Korea just stole $292 million from DeFi and the two protocols involved are publicly blaming each other,bearish,bearish
"User Funds across Ethereum Layer 2 Blockchains are at MAJOR RISK, including Blast, Optimism, Mantle, and Base. These blockchains are essentially centralized databases controlled by a handful of people who control a single multisignature wallet. Be careful!",bearish,bearish
New privacy project that doesn't use a token,neutral,neutral
New to crypto,bearish,neutral
Monday is the worst day to trade,bearish,bearish
Why I’m being extremely selective with altcoins right now,bearish,bearish
Fear at 29 — BTC absorbing $38B volume while BOME shows 518% turnover distribution signal,neutral,neutral
Overtrading was my biggest mistake in BTC,bearish,bearish
Fear & Greed at 27 — BTC holding $75K while smart money positions quietly,neutral,neutral
I built a 90-day ETH model using data + AI. It just hit 68% BUY with 5/5 window agreement. Here's the full calculation.,bullish,bullish
Crypto Market Pulse:,bearish,neutral
$CRO holders — WAKE UP. 🚀 Crypto. com is building an empire while others chase memes. Prediction markets. White House UFC. Bank charter. ETF path. Trump integration. These moves are stacking FAST. If you want to know more why $CRO is massively bullish. Keep reading.👇,neutral,bullish
Neo Bank - Crypto.com making inroads,bullish,bullish
Binance Support Thread,neutral,neutral
Am I in deep trouble?,bearish,bearish
I can't use REST API with my BinanceTR account,bearish,bearish
Rent fee,bearish,bearish
Copy trade on Binance,bearish,bearish
I am a pure newcomer，Today I want to share my trading records on the Binance platform over the past few days. I didn't expect my win rate to exceed 90%.,bullish,bullish
Good morning,bullish,bullish
P2P bank freeze risk in India need real user experience,bearish,bearish
Binance scammed me,bearish,bearish
Binance scammed med,bearish,bearish
Binance scammed me,bearish,bearish
POA APPEAL?!,bearish,bearish
Senator presses DOJ and Treasury over status of Binance monitors after $1.7 billion in Iran-linked crypto flows,bearish,bearish
Deposits for TRON (TRX) are now open on Binance.US!,bullish,bullish
What Is This Binance “Invite Friends & Earn USDC” Feature?,bearish,bearish
15 BNB Shared,bullish,bullish
USDT on Bitcoin is here,bullish,bullish
We built a USDC off-ramp API that hits 85 currencies on local rails. What is missing? (disclosure: I work on it),bullish,bullish
The Real Story Behind Stablecoin Growth: Beyond Hype to Actual Usage,bullish,bullish
Will Defi will be the death of Binance ??,bullish,bullish
LP management protocols?,bearish,bearish
"Trust wallet, earn USDC with Compound 3",bearish,bearish
the curve wars feel like ancient history now tbh,bearish,bearish
Best Principal Token (PT) Stablecoin Yields (2026-04-20),neutral,neutral
I built the prediction-market index idea from my last post (follow up),bearish,bearish
How risky is USDC lending in Coinbase to Morpho?,bearish,bearish
DMD Protocol — Built a Bitcoin-backed system on Base that removes mining energy from the scarcity equation — want serious feedback on what we missed,neutral,neutral
Kelp’s Black Swan for Aave,bearish,bearish
